newusers,eventcount,totalusers,conversions,totalrevenue,devicecategory,engagementrate,engagedsessions,date
108,1326,135,0,0,desktop,0.735483871,114,12/08/23
283,1740,308,0,0,mobile,0.648148148,210,12/08/23
12,87,13,0,0,tablet,0.538461538,7,12/08/23
114,1270,133,0,0,desktop,0.662162162,98,13/08/23
277,1782,307,0,0,mobile,0.579754601,189,13/08/23
14,95,15,0,0,tablet,0.8,12,13/08/23
186,2362,239,0,0,desktop,0.731292517,215,14/08/23
301,1917,338,0,0,mobile,0.55922865,203,14/08/23
16,100,18,0,0,tablet,0.555555556,10,14/08/23
170,1780,204,0,0,desktop,0.695833333,167,15/08/23
330,2222,360,0,0,mobile,0.629353234,253,15/08/23
14,98,15,0,0,tablet,0.666666667,10,15/08/23
141,1704,170,0,0,desktop,0.698492462,139,16/08/23
281,1588,304,0,0,mobile,0.597014925,200,16/08/23
11,68,11,0,0,tablet,0.636363636,7,16/08/23
153,1584,183,0,0,desktop,0.697247706,152,17/08/23
259,1470,277,0,0,mobile,0.506802721,149,17/08/23
7,38,8,0,0,tablet,0.875,7,17/08/23
177,1929,208,0,0,desktop,0.673387097,167,18/08/23
286,1841,315,0,0,mobile,0.532163743,182,18/08/23
12,95,13,0,0,tablet,0.615384615,8,18/08/23
107,976,124,0,0,desktop,0.714285714,100,19/08/23
274,1635,299,0,0,mobile,0.577287066,183,19/08/23
17,169,19,0,0,tablet,0.736842105,14,19/08/23
103,1336,121,0,0,desktop,0.782945736,101,20/08/23
272,1937,294,0,0,mobile,0.60443038,191,20/08/23
13,62,13,0,0,tablet,0.692307692,9,20/08/23
193,1994,227,0,0,desktop,0.679245283,180,21/08/23
280,1689,309,0,0,mobile,0.618902439,203,21/08/23
17,116,19,0,0,tablet,0.75,15,21/08/23
170,1704,213,0,0,desktop,0.677290837,170,22/08/23
245,1666,268,0,0,mobile,0.596551724,173,22/08/23
14,104,18,0,0,tablet,0.789473684,15,22/08/23
164,1952,203,0,0,desktop,0.668103448,155,23/08/23
244,1607,281,0,0,mobile,0.618729097,185,23/08/23
16,114,16,0,0,tablet,0.6875,11,23/08/23
189,2025,222,0,0,desktop,0.723320158,183,24/08/23
270,1720,288,0,0,mobile,0.591194969,188,24/08/23
16,128,17,0,0,tablet,0.588235294,10,24/08/23
177,1758,216,0,0,desktop,0.676229508,165,25/08/23
284,2026,324,0,0,mobile,0.597101449,206,25/08/23
1,5,1,0,0,smart tv,1,1,25/08/23
9,66,14,0,0,tablet,0.714285714,10,25/08/23
102,1269,126,0,0,desktop,0.673333333,101,26/08/23
329,1946,357,0,0,mobile,0.625329815,237,26/08/23
17,105,18,0,0,tablet,0.578947368,11,26/08/23
105,1071,126,0,0,desktop,0.709219858,100,27/08/23
287,1559,305,0,0,mobile,0.586750789,186,27/08/23
23,191,25,0,0,tablet,0.76,19,27/08/23
208,2305,249,0,0,desktop,0.734982332,208,28/08/23
349,2058,371,0,0,mobile,0.596446701,235,28/08/23
16,102,17,0,0,tablet,0.588235294,10,28/08/23
166,2009,214,0,0,desktop,0.699588477,170,29/08/23
293,1858,318,0,0,mobile,0.618768328,211,29/08/23
8,54,9,0,0,tablet,0.666666667,6,29/08/23
189,1886,224,0,0,desktop,0.675889328,171,30/08/23
255,1449,281,0,0,mobile,0.592592593,176,30/08/23
10,62,10,0,0,tablet,0.9,9,30/08/23
169,1452,208,0,0,desktop,0.67965368,157,31/08/23
263,1371,285,0,0,mobile,0.562913907,170,31/08/23
16,71,16,0,0,tablet,0.75,12,31/08/23
165,1688,195,0,0,desktop,0.705882353,156,01/09/23
249,1413,267,0,0,mobile,0.625441696,177,01/09/23
9,83,12,0,0,tablet,0.769230769,10,01/09/23
102,1051,123,0,0,desktop,0.711111111,96,02/09/23
295,1836,317,0,0,mobile,0.619760479,207,02/09/23
11,90,12,0,0,tablet,0.785714286,11,02/09/23
102,861,110,0,0,desktop,0.73553719,89,03/09/23
265,1504,281,0,0,mobile,0.621993127,181,03/09/23
10,39,10,0,0,tablet,0.6,6,03/09/23
144,1424,162,0,0,desktop,0.695402299,121,04/09/23
340,2405,365,0,0,mobile,0.626903553,247,04/09/23
19,200,19,0,0,tablet,0.666666667,14,04/09/23
208,2072,246,0,0,desktop,0.725978648,204,05/09/23
315,2383,345,0,0,mobile,0.631043257,248,05/09/23
14,158,16,0,0,tablet,0.833333333,15,05/09/23
192,1980,233,0,0,desktop,0.715909091,189,06/09/23
301,1792,326,0,0,mobile,0.566951567,199,06/09/23
10,91,13,0,0,tablet,0.769230769,10,06/09/23
192,2276,242,0,0,desktop,0.737827715,197,07/09/23
296,1716,319,0,0,mobile,0.575842697,205,07/09/23
17,148,18,0,0,tablet,0.777777778,14,07/09/23
158,1632,198,0,0,desktop,0.681034483,158,08/09/23
255,1653,279,0,0,mobile,0.595959596,177,08/09/23
11,89,12,0,0,tablet,0.538461538,7,08/09/23
136,1279,157,0,0,desktop,0.773809524,130,09/09/23
345,2224,372,0,0,mobile,0.614634146,252,09/09/23
16,115,16,0,0,tablet,0.625,10,09/09/23
115,1220,129,0,0,desktop,0.735714286,103,10/09/23
318,1976,348,0,0,mobile,0.585164835,213,10/09/23
11,58,11,0,0,tablet,0.818181818,9,10/09/23
235,2681,272,0,0,desktop,0.698757764,225,11/09/23
289,2073,321,0,0,mobile,0.603932584,215,11/09/23
20,262,20,0,0,tablet,0.761904762,16,11/09/23
183,1751,221,0,0,desktop,0.721115538,181,12/09/23
310,1953,335,0,0,mobile,0.616438356,225,12/09/23
16,147,18,0,0,tablet,0.722222222,13,12/09/23
185,2089,220,0,0,desktop,0.714828897,188,13/09/23
289,1869,315,0,0,mobile,0.596439169,201,13/09/23
22,260,22,0,0,tablet,0.791666667,19,13/09/23
185,1775,216,0,0,desktop,0.707317073,174,14/09/23
270,1626,291,0,0,mobile,0.572347267,178,14/09/23
1,3,1,0,0,smart tv,0,0,14/09/23
21,229,22,0,0,tablet,0.695652174,16,14/09/23
145,1395,182,0,0,desktop,0.698564593,146,15/09/23
278,1560,303,0,0,mobile,0.601880878,192,15/09/23
12,68,14,0,0,tablet,0.642857143,9,15/09/23
87,1095,109,0,0,desktop,0.677966102,80,16/09/23
309,2010,331,0,0,mobile,0.656338028,233,16/09/23
15,89,18,0,0,tablet,0.736842105,14,16/09/23
109,1002,125,0,0,desktop,0.709219858,100,17/09/23
302,1869,324,0,0,mobile,0.609970674,208,17/09/23
21,225,25,0,0,tablet,0.703703704,19,17/09/23
233,2402,273,0,0,desktop,0.746794872,233,18/09/23
292,2020,327,0,0,mobile,0.626038781,226,18/09/23
15,222,15,0,0,tablet,0.4375,7,18/09/23
208,2355,255,0,0,desktop,0.704318937,212,19/09/23
306,1978,322,0,0,mobile,0.64619883,221,19/09/23
12,128,14,0,0,tablet,0.714285714,10,19/09/23
190,2287,231,0,0,desktop,0.7,189,20/09/23
273,1885,300,0,0,mobile,0.609090909,201,20/09/23
16,178,19,0,0,tablet,0.523809524,11,20/09/23
192,2454,229,0,0,desktop,0.70411985,188,21/09/23
266,1785,295,0,0,mobile,0.589506173,191,21/09/23
14,81,16,0,0,tablet,0.705882353,12,21/09/23
174,1867,207,0,0,desktop,0.654320988,159,22/09/23
278,1615,308,0,0,mobile,0.552552553,184,22/09/23
13,159,15,0,0,tablet,0.625,10,22/09/23
122,1154,139,0,0,desktop,0.763157895,116,23/09/23
334,2340,361,0,0,mobile,0.589420655,234,23/09/23
16,140,16,0,0,tablet,0.764705882,13,23/09/23
126,1571,150,0,0,desktop,0.784090909,138,24/09/23
333,2069,354,0,0,mobile,0.601583113,228,24/09/23
22,153,22,0,0,tablet,0.772727273,17,24/09/23
236,2763,278,0,0,desktop,0.727848101,230,25/09/23
357,2150,390,0,0,mobile,0.61686747,256,25/09/23
20,168,26,0,0,tablet,0.518518519,14,25/09/23
212,2094,260,0,0,desktop,0.714776632,208,26/09/23
303,1768,338,0,0,mobile,0.565683646,211,26/09/23
15,96,15,0,0,tablet,1,15,26/09/23
183,2078,216,0,0,desktop,0.671875,172,27/09/23
290,1707,315,0,0,mobile,0.568807339,186,27/09/23
11,49,11,0,0,tablet,0.636363636,7,27/09/23
155,1592,189,0,0,desktop,0.704035874,157,28/09/23
307,2113,327,0,0,mobile,0.588571429,206,28/09/23
20,132,22,0,0,tablet,0.625,15,28/09/23
188,1908,218,0,0,desktop,0.677290837,170,29/09/23
275,1912,301,0,0,mobile,0.622291022,201,29/09/23
17,106,18,0,0,tablet,0.578947368,11,29/09/23
120,1166,146,0,0,desktop,0.71686747,119,30/09/23
332,2291,358,0,0,mobile,0.613810742,240,30/09/23
15,82,16,0,0,tablet,0.75,12,30/09/23
111,1075,130,0,0,desktop,0.74829932,110,01/10/23
319,1979,350,0,0,mobile,0.591397849,220,01/10/23
18,160,22,0,0,tablet,0.681818182,15,01/10/23
220,2067,265,0,0,desktop,0.704081633,207,02/10/23
374,2258,399,0,0,mobile,0.567816092,247,02/10/23
15,84,17,0,0,tablet,0.588235294,10,02/10/23
218,2192,265,0,0,desktop,0.726351351,215,03/10/23
275,1762,298,0,0,mobile,0.623824451,199,03/10/23
18,164,19,0,0,tablet,0.736842105,14,03/10/23
167,1586,214,0,0,desktop,0.68699187,169,04/10/23
313,1963,342,0,0,mobile,0.637096774,237,04/10/23
13,54,14,0,0,tablet,0.466666667,7,04/10/23
212,2424,250,0,0,desktop,0.68013468,202,05/10/23
275,1834,297,0,0,mobile,0.61829653,196,05/10/23
5,37,6,0,0,tablet,0.5,3,05/10/23
165,1656,206,0,0,desktop,0.698275862,162,06/10/23
297,1856,323,0,0,mobile,0.610619469,207,06/10/23
18,84,18,0,0,tablet,0.578947368,11,06/10/23
128,1170,151,0,0,desktop,0.78125,125,07/10/23
344,1712,360,0,0,mobile,0.581395349,225,07/10/23
20,89,20,0,0,tablet,0.7,14,07/10/23
125,1020,139,0,0,desktop,0.72972973,108,08/10/23
361,1864,377,0,0,mobile,0.597964377,235,08/10/23
12,52,13,0,0,tablet,0.769230769,10,08/10/23
172,1581,194,0,0,desktop,0.739336493,156,09/10/23
394,2378,409,0,0,mobile,0.598607889,258,09/10/23
18,79,20,0,0,tablet,0.55,11,09/10/23
224,2036,266,0,0,desktop,0.683870968,212,10/10/23
363,2145,397,0,0,mobile,0.578088578,248,10/10/23
16,79,18,0,0,tablet,0.631578947,12,10/10/23
216,1929,259,0,0,desktop,0.699324324,207,11/10/23
388,2390,422,0,0,mobile,0.604444444,272,11/10/23
22,92,22,0,0,tablet,0.565217391,13,11/10/23
188,1735,221,0,0,desktop,0.674509804,172,12/10/23
357,2019,382,0,0,mobile,0.598062954,247,12/10/23
15,64,17,0,0,tablet,0.529411765,9,12/10/23
190,1790,218,0,0,desktop,0.744,186,13/10/23
356,1861,377,0,0,mobile,0.59,236,13/10/23
22,114,22,0,0,tablet,0.739130435,17,13/10/23
136,1436,161,0,0,desktop,0.768361582,136,14/10/23
424,2164,449,0,0,mobile,0.545643154,263,14/10/23
16,81,16,0,0,tablet,0.588235294,10,14/10/23
177,1905,201,0,0,desktop,0.793577982,173,15/10/23
360,1965,381,0,0,mobile,0.604878049,248,15/10/23
1,3,1,0,0,smart tv,0,0,15/10/23
12,99,14,0,0,tablet,0.571428571,8,15/10/23
239,2571,283,0,0,desktop,0.70212766,231,16/10/23
412,2770,447,0,0,mobile,0.629166667,302,16/10/23
15,87,19,0,0,tablet,0.578947368,11,16/10/23
239,2443,292,0,0,desktop,0.704819277,234,17/10/23
344,1862,373,0,0,mobile,0.5975,239,17/10/23
24,159,25,0,0,tablet,0.76,19,17/10/23
236,2273,280,0,0,desktop,0.693037975,219,18/10/23
334,1951,360,0,0,mobile,0.574412533,220,18/10/23
17,160,19,0,0,tablet,0.666666667,14,18/10/23
200,2126,246,0,0,desktop,0.717241379,208,19/10/23
356,2033,372,0,0,mobile,0.597468354,236,19/10/23
25,140,27,0,0,tablet,0.714285714,20,19/10/23
215,2265,262,0,0,desktop,0.735973597,223,20/10/23
364,2036,390,0,0,mobile,0.607748184,251,20/10/23
14,70,14,0,0,tablet,0.8125,13,20/10/23
156,1357,177,0,0,desktop,0.72,144,21/10/23
387,2158,411,0,0,mobile,0.589327146,254,21/10/23
15,79,17,0,0,tablet,0.722222222,13,21/10/23
141,1358,168,0,0,desktop,0.720430108,134,22/10/23
408,2399,423,0,0,mobile,0.590389016,258,22/10/23
16,162,16,0,0,tablet,0.625,10,22/10/23
254,2599,288,0,0,desktop,0.713395639,229,23/10/23
408,2456,432,0,0,mobile,0.631808279,290,23/10/23
20,96,20,0,0,tablet,0.857142857,18,23/10/23
225,2391,274,0,0,desktop,0.664556962,210,24/10/23
383,2063,408,0,0,mobile,0.596287703,257,24/10/23
18,97,19,0,0,tablet,0.578947368,11,24/10/23
244,2457,280,0,0,desktop,0.712933754,226,25/10/23
371,2002,388,0,0,mobile,0.577294686,239,25/10/23
24,189,25,0,0,tablet,0.76,19,25/10/23
202,2191,253,0,0,desktop,0.684931507,200,26/10/23
354,1942,372,0,0,mobile,0.574358974,224,26/10/23
20,106,24,0,0,tablet,0.625,15,26/10/23
207,2004,268,0,0,desktop,0.704918033,215,27/10/23
346,2198,372,0,0,mobile,0.588528678,236,27/10/23
25,136,25,0,0,tablet,0.571428571,16,27/10/23
127,1384,155,0,0,desktop,0.67032967,122,28/10/23
396,2402,421,0,0,mobile,0.643015521,290,28/10/23
24,160,24,0,0,tablet,0.666666667,16,28/10/23
152,1748,175,0,0,desktop,0.770408163,151,29/10/23
407,2240,423,0,0,mobile,0.614349776,274,29/10/23
21,112,23,0,0,tablet,0.695652174,16,29/10/23
293,3670,344,0,0,desktop,0.705882353,276,30/10/23
396,2550,426,0,0,mobile,0.623059867,281,30/10/23
25,170,28,0,0,tablet,0.571428571,16,30/10/23
226,2222,273,0,0,desktop,0.719869707,221,31/10/23
391,2357,417,0,0,mobile,0.589800443,266,31/10/23
12,171,12,0,0,tablet,0.8,12,31/10/23
224,2517,268,0,0,desktop,0.690553746,212,01/11/23
396,2327,430,0,0,mobile,0.568281938,258,01/11/23
1,3,1,0,0,smart tv,0,0,01/11/23
27,265,32,0,0,tablet,0.72972973,27,01/11/23
209,2081,254,0,0,desktop,0.702054795,205,02/11/23
374,2496,408,0,0,mobile,0.585034014,258,02/11/23
12,65,14,0,0,tablet,0.533333333,8,02/11/23
217,2506,268,0,0,desktop,0.738019169,231,03/11/23
432,2431,461,0,0,mobile,0.590725806,293,03/11/23
24,161,25,0,0,tablet,0.8,20,03/11/23
136,1454,164,0,0,desktop,0.735955056,131,04/11/23
514,3142,533,0,0,mobile,0.599303136,344,04/11/23
29,180,30,0,0,tablet,0.766666667,23,04/11/23
148,1471,170,0,0,desktop,0.752688172,140,05/11/23
439,2712,465,0,0,mobile,0.611788618,301,05/11/23
15,129,17,0,0,tablet,0.647058824,11,05/11/23
243,2248,292,0,0,desktop,0.72392638,236,06/11/23
419,2635,451,0,0,mobile,0.590725806,293,06/11/23
18,148,20,0,0,tablet,0.7,14,06/11/23
222,2208,265,0,0,desktop,0.681208054,203,07/11/23
399,2486,431,0,0,mobile,0.55483871,258,07/11/23
13,77,15,0,0,tablet,0.8,12,07/11/23
233,2205,282,0,0,desktop,0.706070288,221,08/11/23
397,2424,427,0,0,mobile,0.578366446,262,08/11/23
13,129,14,0,0,tablet,0.571428571,8,08/11/23
243,2385,299,0,0,desktop,0.680597015,228,09/11/23
333,1868,360,0,0,mobile,0.521410579,207,09/11/23
19,129,19,0,0,tablet,0.85,17,09/11/23
239,2416,269,0,0,desktop,0.708737864,219,10/11/23
405,2415,430,0,0,mobile,0.554323725,250,10/11/23
21,116,23,0,0,tablet,0.608695652,14,10/11/23
163,1544,188,0,0,desktop,0.748743719,149,11/11/23
421,2466,454,0,0,mobile,0.610997963,300,11/11/23
25,116,26,0,0,tablet,0.615384615,16,11/11/23
136,1141,160,0,0,desktop,0.767857143,129,12/11/23
452,2801,484,0,0,mobile,0.621301775,315,12/11/23
1,3,1,0,0,smart tv,0,0,12/11/23
24,128,25,0,0,tablet,0.740740741,20,12/11/23
290,3067,343,0,0,desktop,0.693467337,276,13/11/23
390,2206,424,0,0,mobile,0.634090909,279,13/11/23
15,54,15,0,0,tablet,0.4,6,13/11/23
238,2426,275,0,0,desktop,0.692789969,221,14/11/23
387,2001,407,0,0,mobile,0.592505855,253,14/11/23
20,154,20,0,0,tablet,0.7,14,14/11/23
219,2123,256,0,0,desktop,0.694915254,205,15/11/23
371,2113,397,0,0,mobile,0.6073903,263,15/11/23
15,108,15,0,0,tablet,0.5,9,15/11/23
199,1825,235,0,0,desktop,0.705223881,189,16/11/23
345,1932,366,0,0,mobile,0.583120205,228,16/11/23
18,105,18,0,0,tablet,0.631578947,12,16/11/23
231,2321,272,0,0,desktop,0.637820513,199,17/11/23
350,1896,374,0,0,mobile,0.555269923,216,17/11/23
15,74,16,0,0,tablet,0.75,12,17/11/23
170,1340,189,0,0,desktop,0.778894472,155,18/11/23
445,2662,470,0,0,mobile,0.582846004,299,18/11/23
21,106,23,0,0,tablet,0.695652174,16,18/11/23
157,1338,187,0,0,desktop,0.707070707,140,19/11/23
439,2442,465,0,0,mobile,0.555102041,272,19/11/23
23,178,24,0,0,tablet,0.52,13,19/11/23
263,2849,314,0,0,desktop,0.67115903,249,20/11/23
445,2680,483,0,0,mobile,0.587548638,302,20/11/23
18,150,21,0,0,tablet,0.681818182,15,20/11/23
221,2427,284,0,0,desktop,0.686390533,232,21/11/23
438,2486,463,0,0,mobile,0.556,278,21/11/23
26,121,26,0,0,tablet,0.769230769,20,21/11/23
218,2391,272,0,0,desktop,0.731788079,221,22/11/23
414,2561,444,0,0,mobile,0.554603854,259,22/11/23
20,335,24,0,0,tablet,0.814814815,22,22/11/23
184,1961,227,0,0,desktop,0.716535433,182,23/11/23
352,2041,375,0,0,mobile,0.58524173,230,23/11/23
20,180,20,0,0,tablet,0.6,12,23/11/23
190,2264,230,0,0,desktop,0.762264151,202,24/11/23
356,2292,386,0,0,mobile,0.635235732,256,24/11/23
17,102,20,0,0,tablet,0.681818182,15,24/11/23
138,1421,181,0,0,desktop,0.692682927,142,25/11/23
403,2624,457,0,0,mobile,0.606854839,301,25/11/23
23,121,24,0,0,tablet,0.75,18,25/11/23
160,1447,185,0,0,desktop,0.719806763,149,26/11/23
392,2327,412,0,0,mobile,0.565217391,247,26/11/23
19,176,20,0,0,tablet,0.7,14,26/11/23
200,1971,245,0,0,desktop,0.738970588,201,27/11/23
371,2043,401,0,0,mobile,0.576036866,250,27/11/23
15,73,16,0,0,tablet,0.764705882,13,27/11/23
237,2307,273,0,0,desktop,0.728434505,228,28/11/23
387,2410,416,0,0,mobile,0.608501119,272,28/11/23
15,108,16,0,0,tablet,0.705882353,12,28/11/23
205,1948,252,0,0,desktop,0.6816609,197,29/11/23
316,1982,345,0,0,mobile,0.672176309,244,29/11/23
15,68,15,0,0,tablet,0.733333333,11,29/11/23
188,1655,228,0,0,desktop,0.662878788,175,30/11/23
286,1798,309,0,0,mobile,0.650306748,212,30/11/23
15,71,18,0,0,tablet,0.611111111,11,30/11/23
197,1656,235,0,0,desktop,0.676806084,178,01/12/23
277,1669,298,0,0,mobile,0.593373494,197,01/12/23
18,82,19,0,0,tablet,0.736842105,14,01/12/23
148,1316,177,0,0,desktop,0.719387755,141,02/12/23
359,2002,385,0,0,mobile,0.602439024,247,02/12/23
20,165,20,0,0,tablet,0.681818182,15,02/12/23
130,1253,155,0,0,desktop,0.693641618,120,03/12/23
378,1995,400,0,0,mobile,0.605263158,253,03/12/23
28,129,28,0,0,tablet,0.7,21,03/12/23
210,2186,257,0,0,desktop,0.712802768,206,04/12/23
357,2216,382,0,0,mobile,0.623441397,250,04/12/23
15,77,16,0,0,tablet,0.375,6,04/12/23
211,2073,251,0,0,desktop,0.675,189,05/12/23
347,2292,378,0,0,mobile,0.591133005,240,05/12/23
20,106,23,0,0,tablet,0.47826087,11,05/12/23
190,1820,234,0,0,desktop,0.647286822,167,06/12/23
297,1790,314,0,0,mobile,0.643076923,209,06/12/23
1,3,1,0,0,smart tv,0,0,06/12/23
19,100,20,0,0,tablet,0.6,12,06/12/23
174,2054,216,0,0,desktop,0.713709677,177,07/12/23
316,1842,339,0,0,mobile,0.556149733,208,07/12/23
17,86,19,0,0,tablet,0.526315789,10,07/12/23
